"TITRE de l'article";"DATE";"ID";"Collégien";"lycéen";"étudiant";"jeune diplômé";"parent";"équipe éducative et professionnels accompagnants";"métier";"formation/Etudes";"emploi";"agenda-événement";"procédure d’orientation";"handicap";"national";"régional";"académique";"multi-site";"international""";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"STMG mercatique";"42186";"790300, 798747";"";"1";"";"";"2";"2";"2";"2";"";"";"1";"";"X";"";"";"";
"STMG systèmes d&apos;information de gestion";"42186";"790298, 798745";"";"1";"";"";"2";"2";"2";"2";"";"";"1";"";"X";"";"";"";
"Le bac STAV (sciences et technologies de l’agronomie et du vivant) ";"42795";"577001,  583692";"";"1";"";"";"2";"2";"2";"2";"";"";"1";"";"X";"";"";"";
"Le bac TMD (techniques de la musique et de la danse) ";"42795";"577003, 583694";"";"1";"";"";"2";"2";"2";"2";"";"";"1";"";"X";"";"";"";
"Le bac STHR";"42795";"577005, 583695";"";"1";"";"";"2";"2";"2";"2";"";"";"1";"";"X";"";"";"";
"Où trouvez les résultats du bac ?";"42887";"723344, 731401";"";"1";"2";"";"2";"3";"";"";"";"2";"1";"";"X";"";"";"";
"Les épreuves de 1re et de terminale du baccalauréat";"42856";"586832, 593568";"";"1";"";"";"2";"2";"";"";"";"";"1";"";"X";"";"";"";
"Quels sont les épreuves du bac en première ?";"42887";"935555, 938665";"";"1";"";"";"2";"3";"";"";"";"";"1";"";"X";"";"";"";
"Quelles sont les épreuves du bac en terminale?";"42887";"935547, 937589";"";"1";"";"";"2";"3";"";"";"";"";"1";"";"X";"";"";"";
"Les oraux de rattrapage du bac";"";"867969, 871635";"";"1";"";"";"2";"3";"";"";"";"";"1";"";"X";"";"";"";
"Rattrapage du bac : êtes-vous concerné ?";"42856";"935580, 871639";"";"1";"";"";"2";"3";"";"";"";"";"1";"";"X";"";"";"";
"Le rattrapage du bac étape par étape";"42856";"935580, 871639";"";"1";"";"";"2";"3";"";"";"";"";"1";"";"X";"";"";"";
"Rattrapage du bac : les clés pour réussir";"42856";"935582, 871640";"";"1";"";"";"2";"3";"";"";"";"";"1";"";"X";"";"";"";
"Orientation active : favoriser la transition avec le sup (dossier)";"";"637517, 644896";"";"1";"";"";"2";"3";"";"";"";"";"1";"";"X";"";"";"";
"Orientation active : réussir la transition du lycée au sup";"42736";"637533, 644913";"";"1";"";"";"2";"3";"";"";"";"";"1";"";"X";"";"";"";
"L’avis d’orientation active : pour bien choisir sa L1";"42736";"637516, 644895";"";"1";"";"";"2";"3";"";"2";"";"";"1";"";"X";"";"";"";
"Avis d’expert : avec l&apos;orientation active, mieux connaître l&apos;université et ses filières";"42736";"637546, 644924";"";"1";"";"";"2";"3";"";"";"";"";"1";"";"X";"";"";"";
"orientation : 5 raisons de se rendre sur les salons";"42675";"760531, 768736";"";"1";"";"";"2";"3";"";"2";"";"";"1";"";"X";"";"";"";
"Après le bac : les différentes poursuites d&apos;études";"42644";"434405, 438274";"";"1";"1";"";"2";"3";"";"2";"";"";"1";"";"X";"";"";"";
"Au lycée professionnel et au CFA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Choisir la voie professionnelle";"42856";"434430, 438299";"1";"1";"";"";"2";"3";"2";"2";"";"";"1";"";"X";"";"";"";
"Le bac professionnel ";"42522";"";"";"";"";"";"";"";"";"";"";"";"";"";"X";"";"";"";
"Des classes prépa spéciales bacs pros";"41913";"665037, 831146";"1";"1";"";"";"2";"3";"2";"2";"";"";"1";"";"X";"";"";"";
"Le CAP (dossier)";"";"603841, 610724";"1";"1";"";"";"2";"3";"2";"2";"";"";"1";"";"X";"";"";"";
"Le CAP : études, programme…";"42522";"767854, 438302";"1";"1";"";"";"2";"3";"2";"2";"";"";"1";"";"X";"";"";"";
"Après le CAP, s&apos;insérer dans la vie active ";"42522";"767853, 610921)";"1";"1";"";"";"2";"2";"2";"3";"";"";"1";"";"X";"";"";"";
"Après le CAP, poursuivre des études c&apos;est possible";"42522";"767852, 438300";"1";"1";"";"";"2";"2";"2";"3";"";"";"1";"";"X";"";"";"";
"Préparer un CAP ou un bac en alternance";"42826";"587670, 594474";"1";"2";"";"";"2";"2";"2";"3";"";"";"1";"";"X";"";"";"";
"Dispositifs spécifiques";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Les dispositifs pour l&apos;égalité des chances";"42064";"587216, 593967";"1";"1";"";"";"1";"2";"2";"2";"";"";"1";"";"X";"";"";"";
"Les écoles de la 2e chance";"42614";"739850, 747837";"1";"1";"";"";"1";"2";"";"";"";"";"1";"";"X";"";"";"";
"Les aides à la scolarité au lycée (allocations, bourses…)";"42461";"528926, 831103";"";"1";"";"";"1";"2";"";"";"";"";"1";"";"X";"";"";"";
"Lycéens décrocheurs : les établissement pour reprendre des études";"42614";"433930, 437767";"";"1";"";"";"1";"2";"";"";"";"";"1";"";"X";"";"";"";
"Les élèves en situation de handicap au lycée";"42856";"732163, 437768";"1";"1";"";"";"1";"2";"2";"2";"";"";"1";"";"X";"";"";"";
"L’accueil des nouveaux arrivants en France";"42826";"853023, 856696";"1";"1";"";"";"1";"1";"";"";"";"";"1";"";"X";"";"";"";
"Les sections linguistiques au lycée (dossier)";"";"790381, 798832";"1";"1";"";"";"1";"";"1";"2";"";"";"1";"";"X";"";"";"";
"Les sections européennes ou de langues orientales (SELO)";"41852";"665208, 831105";"";"1";"";"";"2";"2";"";"";"";"";"1";"";"X";"";"";"";
"Les sections internationales";"41852";"665210, 831106";"";"1";"";"";"1";"2";"";"";"";"";"1";"";"X";"";"";"";
"Les sections binationales (AbiBac, Bachibac, Esabac)";"41852";"665216, 831107";"";"1";"";"";"1";"2";"";"";"";"";"1";"";"X";"";"";"";
"&#10;Les sections bilingues langues régionales";"41852";"665218, 831108";"1";"1";"";"";"1";"2";"";"";"";"";"1";"";"X";"";"";"";
"Les sections artistiques et sportives au lycée";"41609";"433932, 437769";"";"1";"";"";"2";"2";"";"";"";"";"1";"";"X";"";"";"";
"Stages d’anglais gratuits pour les lycéens ";"42795";"488474, 831102";"";"1";"";"";"2";"2";"";"";"";"";"1";"";"X";"";"";"";
"Guide gratuit &quot;Entrer dans le sup après le bac&quot; ";"42705";"734292, 742295";"";"1";"";"";"2";"";"";"";"";"";"1";"";"X";"";"";"";
"FAQ";"42856";"434266, 438104";"";"1";"";"";"2";"";"";"";"";"";"1";"";"X";"";"";"";
"Les différents services de l’université";"42856";"434265, 438103";"";"1";"";"";"2";"3";"";"";"";"";"1";"";"X";"";"";"";
"Trouver un logement étudiant : les démarches à faire";"42614";"433890, 437727";"";"1";"1";"";"2";"";"";"";"";"";"1";"";"X";"";"";"";
"Financer ses études : bourses, aides, prêts";"42614";"433908, 437745";"";"1";"1";"";"2";"";"";"";"";"";"1";"";"X";"";"";"";
"S&apos;occuper de sa santé : mutuelle, aides…";"42614";"433907, 437744";"";"1";"1";"";"2";"";"";"";"";"";"1";"";"X";"";"";"";
"S&apos;informer en cas de handicap";"41699";"550024, 556416";"";"1";"1";"";"2";"";"";"";"";"";"1";"2";"X";"";"";"";
"Quelles études après le bac";"42675";"480504, 485837";"";"1";"1";"";"2";"";"";"2";"";"";"1";"";"X";"";"";"";
"Que faire après le bac";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Quiz études supérieures : savez-vous vraiment ce qui vous attend  à la rentrée ?";"42552";"666805, 831149";"";"1";"2";"";"";"";"";"";"";"";"1";"";"X";"";"";"";
"Que faire après le bac ES ? (dossier)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"L’université après le bac économique et social (ES) ";"42644";"433827, 437664";"";"1";"2";"";"3";"3";"";"2";"";"";"1";"";"X";"";"";"";
"Les BTS et DUT après le bac économique et social (ES) ";"42644";" 631792, 639135";"";"1";"2";"";"3";"3";"";"2";"";"";"1";"";"X";"";"";"";
"Les écoles spécialisées après le bac économique et social (ES) ";"42644";"631791, 639133";"";"1";"2";"";"3";"3";"";"2";"";"";"1";"";"X";"";"";"";
"Les classes préparatoires aux grandes écoles après le bac économique&#10; et social (ES) ";"42644";"433857, 437694";"";"1";"2";"";"3";"3";"";"2";"";"";"1";"";"X";"";"";"";
"Que faire après le bac L ? (dossier)";"";"";"";"";"";"";"3";"3";"";"";"";"";"";"";"";"";"";"";
"L’université après le bac littéraire (L) ";"42644";"433828, 437665";"";"1";"2";"";"3";"3";"";"2";"";"";"1";"";"X";"";"";"";
"Les BTS et DUT après le bac littéraire (L)";"42644";"433832, 437669";"";"1";"2";"";"3";"3";"";"2";"";"";"1";"";"X";"";"";"";
"Les écoles spécialisées après le bac littéraire (L) ";"42644";"433845,  437682";"";"1";"2";"";"3";"3";"";"2";"";"";"1";"";"X";"";"";"";
"Les classes préparatoires aux grandes écoles après le bac littéraire";"42644";"433858, 437695";"";"1";"2";"";"3";"3";"";"2";"";"";"1";"";"X";"";"";"";
"Que faire après le bac S ?  (dossier)";"";"";"";"";"";"";"";"";"";"2";"";"";"1";"";"X";"";"";"";
"L’université après le bac scientifique (S) ";"42644";"433829, 437666";"";"1";"2";"";"3";"3";"";"";"";"";"";"";"";"";"";"";
"Les classes préparatoires aux grandes écoles après le bac &#10;scientifique (S) ";"42644";"433839, 437676";"";"1";"2";"";"3";"3";"3";"2";"";"";"1";"";"X";"";"";"";
"Les BTS et DUT après le bac scientifique (S)";"42644";"433843, 437680";"";"1";"2";"";"3";"3";"";"2";"";"";"1";"";"X";"";"";"";
"Les écoles spécialisées après le bac scientifique (S)";"42644";"433855, 437692";"";"1";"2";"";"3";"3";"";"2";"";"";"1";"";"X";"";"";"";
"Que faire après le bac hôtellerie ? (dossier)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
